year,Departement,Parti,Score
1995.0,ardennes,Autre,0.25
1995.0,ardennes,C,17.62
1995.0,ardennes,D,17.54
1995.0,ardennes,ED,22.73
1995.0,ardennes,EG,17.57
1995.0,ardennes,G,24.29
1995.0,ariege,Autre,0.34
1995.0,ariege,C,14.43
1995.0,ariege,D,16.68
1995.0,ariege,ED,13.81
1995.0,ariege,EG,20.95
1995.0,ariege,G,33.81
1995.0,aube,Autre,0.29
1995.0,aube,C,19.02
1995.0,aube,D,20.95
1995.0,aube,ED,24.26
1995.0,aube,EG,15.36
1995.0,aube,G,20.13
1995.0,aude,Autre,0.25
1995.0,aude,C,13.75
1995.0,aude,D,18.17
1995.0,aude,ED,17.47
1995.0,aude,EG,19.22
1995.0,aude,G,31.14
1995.0,aveyron,Autre,0.3
1995.0,aveyron,C,21.05
1995.0,aveyron,D,26.03
1995.0,aveyron,ED,12.97
1995.0,aveyron,EG,15.09
1995.0,aveyron,G,24.57
1995.0,bas-rhin,Autre,0.32
1995.0,bas-rhin,C,24.73
1995.0,bas-rhin,D,16.63
1995.0,bas-rhin,ED,30.13
1995.0,bas-rhin,EG,11.47
1995.0,bas-rhin,G,16.72
1995.0,bouches-du-rhone,Autre,0.23
1995.0,bouches-du-rhone,C,17.8
1995.0,bouches-du-rhone,D,16.89
1995.0,bouches-du-rhone,ED,25.08
1995.0,bouches-du-rhone,EG,19.62
1995.0,bouches-du-rhone,G,20.38
1995.0,calvados,Autre,0.3
1995.0,calvados,C,20.85
1995.0,calvados,D,20.03
1995.0,calvados,ED,17.38
1995.0,calvados,EG,17.63
1995.0,calvados,G,23.81
1995.0,cantal,Autre,0.34
1995.0,cantal,C,14.09
1995.0,cantal,D,40.98
1995.0,cantal,ED,10.52
1995.0,cantal,EG,13.04
1995.0,cantal,G,21.03
1995.0,charente,Autre,0.32
1995.0,charente,C,16.33
1995.0,charente,D,21.08
1995.0,charente,ED,16.43
1995.0,charente,EG,17.75
1995.0,charente,G,28.08
1995.0,charente-maritime,Autre,0.31
1995.0,charente-maritime,C,19.29
1995.0,charente-maritime,D,20.0
1995.0,charente-maritime,ED,19.11
1995.0,charente-maritime,EG,16.6
1995.0,charente-maritime,G,24.68
1995.0,cher,Autre,0.32
1995.0,cher,C,18.0
1995.0,cher,D,20.27
1995.0,cher,ED,18.47
1995.0,cher,EG,22.08
1995.0,cher,G,20.87
1995.0,correze,Autre,0.22
1995.0,correze,C,4.61
1995.0,correze,D,49.3
1995.0,correze,ED,6.53
1995.0,correze,EG,19.47
1995.0,correze,G,19.86
1995.0,corse-du-sud,Autre,0.27
1995.0,corse-du-sud,C,22.58
1995.0,corse-du-sud,D,30.41
1995.0,corse-du-sud,ED,13.87
1995.0,corse-du-sud,EG,14.8
1995.0,corse-du-sud,G,18.07
1995.0,cote-d-or,Autre,0.25
1995.0,cote-d-or,C,18.77
